Date,Country,AreaCode,Area,TotalCases,Population
27/03/2020,England,E08000035,Leeds,140,793139
27/03/2020,England,E06000016,Leicester,90,354224
27/03/2020,England,E08000012,Liverpool,200,498042
27/03/2020,England,E06000032,Luton,89,213052
27/03/2020,England,E08000003,Manchester,117,552858
27/03/2020,England,E06000038,Reading,46,161780
27/03/2020,England,E08000019,Sheffield,454,584853
27/03/2020,England,E06000033,Southend-on-Sea,42,183125
27/03/2020,Northern Ireland,N09000003,Belfast,86,340220
27/03/2020,Scotland,S08000031,Glasgow,299,633120
27/03/2020,Scotland,S08000024,Edinburgh,139,524930
27/03/2020,Wales,W11000029,Cardiff,297,366903
27/03/2020,Wales,W11000031,Swansea,141,246993
27/03/2020,England,E06000026,Plymouth,41,262100
27/03/2020,Wales,W11000028,Newport,554,154676
27/03/2020,London,,London,7180,8961989
28/03/2020,England,E08000025,Birmingham,704,1141816
28/03/2020,England,E06000023,Bristol,104,463377
28/03/2020,England,E08000026,Coventry,138,371521
28/03/2020,England,E08000035,Leeds,166,793139
28/03/2020,England,E06000016,Leicester,101,354224
28/03/2020,England,E08000012,Liverpool,227,498042
28/03/2020,England,E06000032,Luton,99,213052
28/03/2020,England,E08000003,Manchester,148,552858
28/03/2020,England,E06000038,Reading,56,161780
28/03/2020,England,E08000019,Sheffield,519,584853
28/03/2020,England,E06000033,Southend-on-Sea,48,183125
28/03/2020,Scotland,S08000031,Glasgow,376,633120
28/03/2020,Scotland,S08000024,Edinburgh,151,524930
28/03/2020,Wales,W11000029,Cardiff,354,366903
28/03/2020,Wales,W11000031,Swansea,155,246993
28/03/2020,England,E06000026,Plymouth,44,262100
28/03/2020,Wales,W11000028,Newport,607,154676
28/03/2020,London,,London,7757,8961989
29/03/2020,England,E08000025,Birmingham,811,1141816
29/03/2020,England,E06000023,Bristol,116,463377
29/03/2020,England,E08000026,Coventry,155,371521
29/03/2020,England,E08000035,Leeds,187,793139
29/03/2020,England,E06000016,Leicester,102,354224
29/03/2020,England,E08000012,Liverpool,263,498042
29/03/2020,England,E06000032,Luton,109,213052
29/03/2020,England,E08000003,Manchester,171,552858
29/03/2020,England,E06000038,Reading,67,161780
29/03/2020,England,E08000019,Sheffield,581,584853
29/03/2020,England,E06000033,Southend-on-Sea,59,183125
29/03/2020,Scotland,S08000031,Glasgow,401,633120
29/03/2020,Scotland,S08000024,Edinburgh,188,524930
29/03/2020,Wales,W11000029,Cardiff,394,366903
29/03/2020,Wales,W11000031,Swansea,173,246993
29/03/2020,England,E06000026,Plymouth,49,262100
29/03/2020,Wales,W11000028,Newport,661,154676
29/03/2020,London,,London,8350,8961989
30/03/2020,England,E08000025,Birmingham,934,1141816
30/03/2020,England,E06000023,Bristol,133,463377
30/03/2020,England,E08000026,Coventry,178,371521
30/03/2020,England,E08000035,Leeds,214,793139
30/03/2020,England,E06000016,Leicester,107,354224
30/03/2020,England,E08000012,Liverpool,306,498042
30/03/2020,England,E06000032,Luton,125,213052
30/03/2020,England,E08000003,Manchester,195,552858
30/03/2020,England,E06000038,Reading,77,161780
30/03/2020,England,E08000019,Sheffield,656,584853
30/03/2020,England,E06000033,Southend-on-Sea,72,183125
30/03/2020,Northern Ireland,N09000003,Belfast,160,340220
30/03/2020,Scotland,S08000031,Glasgow,449,633120
30/03/2020,Scotland,S08000024,Edinburgh,208,524930
30/03/2020,Wales,W11000029,Cardiff,467,366903
30/03/2020,Wales,W11000031,Swansea,224,246993
30/03/2020,England,E06000026,Plymouth,56,262100
30/03/2020,Wales,W11000028,Newport,761,154676
30/03/2020,London,,London,9194,8961989
31/03/2020,England,E08000025,Birmingham,1065,1141816
31/03/2020,England,E06000023,Bristol,151,463377
31/03/2020,England,E08000026,Coventry,207,371521
31/03/2020,England,E08000035,Leeds,238,793139
31/03/2020,England,E06000016,Leicester,134,354224
31/03/2020,England,E08000012,Liverpool,347,498042
31/03/2020,England,E06000032,Luton,151,213052
31/03/2020,England,E08000003,Manchester,228,552858
31/03/2020,England,E06000038,Reading,82,161780
31/03/2020,England,E08000019,Sheffield,766,584853
31/03/2020,England,E06000033,Southend-on-Sea,87,183125
31/03/2020,Northern Ireland,N09000003,Belfast,166,340220
31/03/2020,Scotland,S08000031,Glasgow,547,633120
31/03/2020,Scotland,S08000024,Edinburgh,269,524930
31/03/2020,Wales,W11000029,Cardiff,540,366903
